name,lon,lat
Caldas-MG,-46.382996,-21.918066
Lavras-MG,-44.97972221,-21.2261111
Machado-MG,-45.944389,-21.680722
MariadaFe-MG,-45.37305554,-22.31444444
PassaQuatro-MG,-44.96194444,-22.39583333
Passos-MG,-46.633916,-20.745237
SaoLourenco-MG,-45.04333333,-22.12638888
SaoSebastiaodoParaiso-MG,-47.11416666,-20.91
Varginha-MG,-45.40416666,-21.56638888
